"Part name","Quantity",
"ASM-0201-11xx_B-Wheelchair_fixation","1",
"M-0201-1101-Tube support","2",
"C-0201-1102-Tube connector","2",
"M-0201-1103-Clamping slide","4",
"E-LIB-SCR-TCHC_M4x12","8",
"E-LIB-SCR-TCHC_M6x18","8",
"E-LIB-WAS-Washer_M6","8",
"M-0201-1104-Fixation tube","1",
"M-0201-1105-Clamps support","1",
"E-LIB-WAS-Washer_M5","2",
"E-LIB-SCR-TCHC_M5x12","2",
"E-LIB-SCR-TCHC_M8x12","2",
"E-LIB-WAS-Washer_M8","2",
"Aluminium rail","1",
"AT1X axe","1",
"C-0201-1106-Stop_ring","1",
"C-0201-1107-Clamping_lever","1",
"C-0201-1108-Spacer D6,3 L10","1",
"C-0201-1106-Stop_ring v3(Mirror)","1",
"C-0201-1107-Clamping_lever v2(Mirror)","1",
"C-0201-1108-Spacer D6,3 L10 v1(Mirror)","1",
"E-LIB-WAS-Washer_M5 v1(Mirror)","2",
"E-LIB-SCR-TCHC_M5x12 v2(Mirror)","2",
